sample ID,sample,rep,base name,spectrum #,spectrum_id,treatment,functional group,cover type,species,site,notes
HB-20,20,5,EMIT_SPEC,845,EMIT_SPEC00845,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-20,20,1,EMIT_SPEC,846,EMIT_SPEC00846,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-20,20,2,EMIT_SPEC,847,EMIT_SPEC00847,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-20,20,3,EMIT_SPEC,848,EMIT_SPEC00848,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-20,20,4,EMIT_SPEC,849,EMIT_SPEC00849,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-20,20,5,EMIT_SPEC,850,EMIT_SPEC00850,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-21,21,1,EMIT_SPEC,851,EMIT_SPEC00851,dry,Bare ,B,Bare ,HorseThief,
HB-21,21,2,EMIT_SPEC,852,EMIT_SPEC00852,dry,Bare ,B,Bare ,HorseThief,
HB-21,21,3,EMIT_SPEC,853,EMIT_SPEC00853,dry,Bare ,B,Bare ,HorseThief,
HB-21,21,4,EMIT_SPEC,854,EMIT_SPEC00854,dry,Bare ,B,Bare ,HorseThief,
